#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_37469_length_8385_cov_86.056360:241-6717      -            726 9010at7898           -           1033         0 1362.6   9.0   1   2         0         0 1091.6   5.5    83   602     1   534     1   546 0.98 -
NODE_37469_length_8385_cov_86.056360:241-6717      -            726 9010at7898           -           1033         0 1362.6   9.0   2   2   3.8e-83   1.7e-81  272.6   0.1   601   742   579   726   561   726 0.95 -
NODE_63187_length_5978_cov_41.282191:1813-2979     -            389 9010at7898           -           1033     2e-31  106.8  10.1   1   1   3.6e-31   1.7e-29  100.5  10.1    76   376     7   305     2   327 0.87 -
NODE_39804_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   1   5   2.3e-07   1.1e-05   21.7  21.2   132   298     2   176     1   180 0.88 -
NODE_39804_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   2   5   9.4e-11   4.3e-09   32.9  11.9   101   300   114   320   109   320 0.84 -
NODE_39804_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   3   5   3.4e-07   1.6e-05   21.1   2.3    94   164   272   343   238   351 0.87 -
NODE_39804_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   4   5   1.1e-09   4.8e-08   29.4  21.9   103   279   353   538   346   538 0.82 -
NODE_39804_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   5   5   3.5e-10   1.6e-08   31.0  13.5    52   207   518   675   517   684 0.91 -
NODE_30609_length_9330_cov_35.070198:5037-7505     -            823 9010at7898           -           1033   7.7e-22   75.1  16.2   1   2   3.3e-06   0.00015   17.8   6.8   138   354   431   654   412   657 0.80 -
NODE_30609_length_9330_cov_35.070198:5037-7505     -            823 9010at7898           -           1033   7.7e-22   75.1  16.2   2   2   9.8e-20   4.5e-18   62.6   2.1   239   391   657   807   653   812 0.89 -
NODE_27934_length_9766_cov_25.485466:8314-8898     -            195 9010at7898           -           1033   6.5e-20   68.7   8.1   1   2   4.6e-06   0.00021   17.3   0.0    97   146     1    50     1    64 0.88 -
NODE_27934_length_9766_cov_25.485466:8314-8898     -            195 9010at7898           -           1033   6.5e-20   68.7   8.1   2   2   1.4e-16   6.4e-15   52.2   6.2    43   176    64   194    50   195 0.88 -
