#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1888_length_23245_cov_37.790677:411-21700    -            669 16723at7898          -            834         0 1227.0   4.8   1   2  5.9e-280  3.8e-278  923.6   2.4     4   449     1   475     1   479 0.96 -
NODE_1888_length_23245_cov_37.790677:411-21700    -            669 16723at7898          -            834         0 1227.0   4.8   2   2   1.3e-92   8.4e-91  303.8   0.0   445   602   499   661   489   666 0.95 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   1  10   2.6e-06   0.00017   18.4   0.0    77   216   107   247    75   253 0.73 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   2  10    0.0067      0.43    7.1   0.2   117   162   253   299   248   310 0.86 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   3  10     0.015      0.95    5.9   0.2   115   225   351   460   342   463 0.77 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   4  10    0.0051      0.33    7.5   0.0   119   233   457   571   446   581 0.81 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   5  10   7.6e-09   4.9e-07   26.7   0.3    78   227   625   770   614   770 0.75 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   6  10   8.4e-08   5.4e-06   23.3   0.0    78   211   730   859   728   866 0.85 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   7  10    0.0047       0.3    7.6   0.0   117   213   865   964   860   968 0.79 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   8  10    0.0043      0.27    7.7   0.0   118   225   970  1081   965  1093 0.82 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9   9  10   1.9e-10   1.2e-08   32.0   0.1    74   213  1146  1284  1133  1286 0.76 -
NODE_32024_length_9121_cov_36.960430:3468-7529    -           1354 16723at7898          -            834   1.3e-35  121.3  22.9  10  10    0.0074      0.47    6.9   0.0    78   153  1258  1328  1245  1348 0.77 -
