#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_34863_length_7642_cov_42.909320:95-4026     -            276 103348at7898         -            217  5.5e-114  377.3   9.8   1   1  1.5e-114  2.1e-112  372.1   9.8     1   217    24   276    24   276 0.92 -
NODE_1496_length_20723_cov_5.495636:12477-13214  -            246 103348at7898         -            217   1.7e-53  179.5   3.6   1   1   1.4e-54     2e-52  176.1   3.6     1   213     1   246     1   246 0.89 -
NODE_241012_length_1015_cov_0.946507:72-812      -            247 103348at7898         -            217   4.5e-32  109.5   4.7   1   1   2.9e-33     4e-31  106.4   4.7     2   213     1   246     1   247 0.81 -
NODE_21573_length_9545_cov_3.408639:1876-2613    -            246 103348at7898         -            217   3.7e-31  106.5   8.5   1   1   1.5e-32   2.1e-30  104.1   8.5     3   214     1   246     1   246 0.80 -
NODE_189884_length_1687_cov_1.022670:724-1431    -            236 103348at7898         -            217   1.2e-29  101.6   4.2   1   1   2.9e-30     4e-28   96.6   4.2     7   212     3   236     1   236 0.76 -
NODE_8802_length_13094_cov_4.847480:7212-8003    -            264 103348at7898         -            217   8.4e-24   82.5   3.1   1   3    0.0019      0.26    9.0   0.5     2    32     1    31     1    40 0.92 -
NODE_8802_length_13094_cov_4.847480:7212-8003    -            264 103348at7898         -            217   8.4e-24   82.5   3.1   2   3   1.9e-20   2.5e-18   64.6   0.1    47   188    59   217    47   224 0.83 -
NODE_8802_length_13094_cov_4.847480:7212-8003    -            264 103348at7898         -            217   8.4e-24   82.5   3.1   3   3    0.0038      0.52    8.0   0.0   183   216   231   264   228   264 0.91 -
NODE_250655_length_915_cov_1.181373:370-882      -            171 103348at7898         -            217   9.9e-21   72.5   4.5   1   1   1.7e-22   2.4e-20   71.2   4.5     7   170     1   170     1   171 0.81 -
NODE_189262_length_1696_cov_0.989981:83-883      -            267 103348at7898         -            217   1.5e-20   71.9   2.8   1   1   9.6e-22   1.3e-19   68.8   2.8     2   212    21   267    20   267 0.78 -
