#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_38344_length_8385_cov_86.056360:241-6717      -            726 9010at7898           -           1033         0 1362.6   9.0   1   2         0         0 1091.6   5.5    83   602     1   534     1   546 0.98 -
NODE_38344_length_8385_cov_86.056360:241-6717      -            726 9010at7898           -           1033         0 1362.6   9.0   2   2   3.8e-83   1.7e-81  272.6   0.1   601   742   579   726   561   726 0.95 -
NODE_63668_length_5978_cov_41.282191:1813-2979     -            389 9010at7898           -           1033     2e-31  106.8  10.1   1   1   3.7e-31   1.7e-29  100.5  10.1    76   376     7   305     2   327 0.87 -
NODE_40632_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   1   5   2.3e-07   1.1e-05   21.7  21.2   132   298     2   176     1   180 0.88 -
NODE_40632_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   2   5   9.5e-11   4.3e-09   32.9  11.9   101   300   114   320   109   320 0.84 -
NODE_40632_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   3   5   3.5e-07   1.6e-05   21.1   2.3    94   164   272   343   238   351 0.87 -
NODE_40632_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   4   5   1.1e-09   4.9e-08   29.4  21.9   103   279   353   538   346   538 0.82 -
NODE_40632_length_8107_cov_37.475774:4359-6533     -            725 9010at7898           -           1033   6.5e-26   88.6  80.6   5   5   3.6e-10   1.6e-08   31.0  13.5    52   207   518   675   517   684 0.91 -
NODE_31523_length_9330_cov_35.070198:5037-7505     -            823 9010at7898           -           1033   7.8e-22   75.1  16.2   1   2   3.3e-06   0.00015   17.8   6.8   138   354   431   654   412   657 0.80 -
NODE_31523_length_9330_cov_35.070198:5037-7505     -            823 9010at7898           -           1033   7.8e-22   75.1  16.2   2   2   9.9e-20   4.5e-18   62.6   2.1   239   391   657   807   653   812 0.89 -
NODE_28854_length_9766_cov_25.485466:8314-8898     -            195 9010at7898           -           1033   6.6e-20   68.7   8.1   1   2   4.7e-06   0.00021   17.3   0.0    97   146     1    50     1    64 0.88 -
NODE_28854_length_9766_cov_25.485466:8314-8898     -            195 9010at7898           -           1033   6.6e-20   68.7   8.1   2   2   1.4e-16   6.5e-15   52.2   6.2    43   176    64   194    50   195 0.88 -
NODE_114345_length_3377_cov_37.145516:639-2015     -            459 9010at7898           -           1033   1.1e-19   68.0  34.1   1   3   5.4e-08   2.4e-06   23.8  11.7    38   186    38   189    27   191 0.81 -
NODE_114345_length_3377_cov_37.145516:639-2015     -            459 9010at7898           -           1033   1.1e-19   68.0  34.1   2   3     2e-11   9.2e-10   35.1   6.4    89   211   163   286   162   299 0.86 -
NODE_114345_length_3377_cov_37.145516:639-2015     -            459 9010at7898           -           1033   1.1e-19   68.0  34.1   3   3   5.7e-09   2.6e-07   27.0   3.7    31   137   295   404   287   420 0.83 -
NODE_7733_length_16326_cov_36.666913:8826-11273    -            816 9010at7898           -           1033   1.8e-19   67.2  17.6   1   2      0.03       1.4    4.7   0.1    93   173   449   529   408   537 0.75 -
NODE_7733_length_16326_cov_36.666913:8826-11273    -            816 9010at7898           -           1033   1.8e-19   67.2  17.6   2   2   2.1e-20   9.6e-19   64.8  14.5   102   374   505   786   497   791 0.81 -
NODE_75892_length_5169_cov_32.140237:3526-4203     -            226 9010at7898           -           1033   2.4e-19   66.8  12.1   1   1   1.5e-20     7e-19   65.3  12.1    25   209    32   209    13   226 0.87 -
NODE_69939_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   1   6      0.84        38   -0.1   0.1   154   182    31    59     9    86 0.70 -
NODE_69939_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   2   6   8.5e-10   3.9e-08   29.7   4.6    31   161    83   217    65   225 0.83 -
NODE_69939_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   3   6    0.0054      0.24    7.2   5.1   121   279   241   396   233   405 0.77 -
NODE_69939_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   4   6     2e-06   9.3e-05   18.5   0.4   107   186   435   517   413   521 0.83 -
NODE_69939_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   5   6   5.5e-06   0.00025   17.1   2.5   102   188   533   626   522   636 0.84 -
NODE_69939_length_5544_cov_33.513682:1645-4587     -            981 9010at7898           -           1033   4.9e-19   65.8  44.0   6   6   2.8e-05    0.0013   14.7   0.9   105   184   639   724   632   735 0.74 -
NODE_11664_length_14284_cov_39.009165:314-2719     -            269 9010at7898           -           1033   6.6e-19   65.4   7.1   1   2   1.5e-19   6.6e-18   62.1   7.0    26   217    39   225    33   233 0.88 -
NODE_11664_length_14284_cov_39.009165:314-2719     -            269 9010at7898           -           1033   6.6e-19   65.4   7.1   2   2     0.017      0.77    5.6   0.1    96   127   200   231   194   257 0.58 -
NODE_27607_length_9989_cov_33.616582:799-8176      -            383 9010at7898           -           1033     7e-19   65.3  14.0   1   3   3.7e-12   1.7e-10   37.5   0.8   265   368     2   104     1   110 0.89 -
NODE_27607_length_9989_cov_33.616582:799-8176      -            383 9010at7898           -           1033     7e-19   65.3  14.0   2   3   3.2e-09   1.4e-07   27.8   1.5    92   209   191   310   172   314 0.79 -
NODE_27607_length_9989_cov_33.616582:799-8176      -            383 9010at7898           -           1033     7e-19   65.3  14.0   3   3   0.00046     0.021   10.7   0.4   111   186   283   358   280   373 0.75 -
NODE_46260_length_7490_cov_33.389934:3873-6807     -            339 9010at7898           -           1033     4e-18   62.8  16.7   1   3   1.2e-09   5.3e-08   29.3   0.1   240   368    69   198    58   208 0.86 -
NODE_46260_length_7490_cov_33.389934:3873-6807     -            339 9010at7898           -           1033     4e-18   62.8  16.7   2   3   1.5e-10   6.7e-09   32.2   3.4    35   176   141   281   138   287 0.66 -
NODE_46260_length_7490_cov_33.389934:3873-6807     -            339 9010at7898           -           1033     4e-18   62.8  16.7   3   3   4.2e-08   1.9e-06   24.1   1.4   106   177   209   282   203   328 0.64 -
NODE_108458_length_3602_cov_35.996860:808-3078     -            757 9010at7898           -           1033   8.3e-17   58.4  20.4   1   1   4.3e-18     2e-16   57.2  20.4    44   373   388   725   350   730 0.84 -
NODE_71114_length_5472_cov_40.834543:1221-3503     -            761 9010at7898           -           1033   9.9e-17   58.2  18.6   1   3   4.1e-06   0.00019   17.5   6.8   143   350   373   587   344   594 0.73 -
NODE_71114_length_5472_cov_40.834543:1221-3503     -            761 9010at7898           -           1033   9.9e-17   58.2  18.6   2   3   1.8e-10   8.2e-09   32.0   1.5   226   299   604   677   592   679 0.93 -
NODE_71114_length_5472_cov_40.834543:1221-3503     -            761 9010at7898           -           1033   9.9e-17   58.2  18.6   3   3   1.2e-05   0.00053   16.0   0.1   228   306   675   753   675   759 0.85 -
NODE_3876_length_20007_cov_36.410137:146-1787      -            388 9010at7898           -           1033   1.1e-16   58.0  14.2   1   2   8.9e-14   4.1e-12   42.9   8.1   235   360    43   167    28   170 0.90 -
NODE_3876_length_20007_cov_36.410137:146-1787      -            388 9010at7898           -           1033   1.1e-16   58.0  14.2   2   2   1.2e-06   5.5e-05   19.3   0.6    79   140   166   225   162   238 0.84 -
NODE_54484_length_6712_cov_21.270830:884-2455      -            524 9010at7898           -           1033   1.3e-16   57.7   7.1   1   1   4.4e-17     2e-15   53.8   6.9    36   285    70   328    64   335 0.79 -
NODE_12406_length_13978_cov_35.882052:1352-4210    -            953 9010at7898           -           1033   2.4e-16   56.9  53.6   1   3   3.2e-13   1.5e-11   41.0  17.6   104   295    60   261    47   270 0.84 -
NODE_12406_length_13978_cov_35.882052:1352-4210    -            953 9010at7898           -           1033   2.4e-16   56.9  53.6   2   3   5.5e-05    0.0025   13.8  16.4    68   297   293   537   283   544 0.71 -
NODE_12406_length_13978_cov_35.882052:1352-4210    -            953 9010at7898           -           1033   2.4e-16   56.9  53.6   3   3   8.2e-07   3.7e-05   19.8  22.8    57   371   357   693   356   707 0.79 -
NODE_18859_length_11878_cov_23.012650:2165-3667    -            501 9010at7898           -           1033   1.2e-15   54.6   8.0   1   1   1.3e-16     6e-15   52.3   8.4    53   287    56   298    38   309 0.83 -
NODE_7421_length_16520_cov_33.048414:3919-5280     -            454 9010at7898           -           1033   1.2e-15   54.6   3.9   1   1   3.5e-17   1.6e-15   54.2   3.9    29   169    71   214    40   226 0.86 -
NODE_21383_length_11245_cov_114.029786:8636-10216  -            527 9010at7898           -           1033   4.6e-15   52.7   4.5   1   1   1.7e-16   7.9e-15   51.9   4.5    46   289    53   305    31   339 0.84 -
NODE_20215_length_11530_cov_28.480448:5491-8699    -            678 9010at7898           -           1033   6.5e-15   52.2   3.2   1   1     2e-16   9.1e-15   51.7   3.2    26   169    68   214    38   223 0.84 -
NODE_40632_length_8107_cov_37.475774:6687-7544     -            286 9010at7898           -           1033   1.2e-14   51.3  26.5   1   2   3.1e-11   1.4e-09   34.5  15.6    84   289    14   228     2   230 0.77 -
NODE_40632_length_8107_cov_37.475774:6687-7544     -            286 9010at7898           -           1033   1.2e-14   51.3  26.5   2   2   7.3e-10   3.3e-08   29.9   3.1   103   185   200   284   195   286 0.87 -
