
Fcntl.c: loadable library and perl binaries are mismatched (got handshake key 0xcd00080, needed 0xde00080)
[2023-03-01 17:12:31,820] multiqc                                            [DEBUG  ]  No MultiQC config found: /opt/conda/lib/python3.7/site-packages/multiqc_config.yaml
[2023-03-01 17:12:31,821] multiqc                                            [DEBUG  ]  No MultiQC config found: /home/jwhal002/.multiqc_config.yaml
[2023-03-01 17:12:31,821] multiqc                                            [DEBUG  ]  No MultiQC config found: multiqc_config.yaml
[2023-03-01 17:12:31,822] multiqc                                            [DEBUG  ]  Found command line config: {'max_table_rows': 3000}
[2023-03-01 17:12:31,822] multiqc                                            [DEBUG  ]  New config 'max_table_rows': 3000
[2023-03-01 17:12:31,822] multiqc                                            [DEBUG  ]  Command used: /opt/conda/bin/multiqc -v -p -ip -f --data-dir --data-format tsv --cl-config max_table_rows: 3000 --filename fqc_raw_report --outdir fq_raw fq_raw
[2023-03-01 17:12:32,411] multiqc                                            [WARNING]  MultiQC Version v1.14 now available!
[2023-03-01 17:12:32,411] multiqc                                            [INFO   ]  This is MultiQC v1.9
[2023-03-01 17:12:32,411] multiqc                                            [DEBUG  ]  Command     : /opt/conda/bin/multiqc -v -p -ip -f --data-dir --data-format tsv --cl-config max_table_rows: 3000 --filename fqc_raw_report --outdir fq_raw fq_raw
[2023-03-01 17:12:32,411] multiqc                                            [DEBUG  ]  Working dir : /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/gerres_macracanthus
[2023-03-01 17:12:32,411] multiqc                                            [INFO   ]  Template    : default
[2023-03-01 17:12:32,411] multiqc                                            [DEBUG  ]  Running Python 3.7.7 (default, Jun 26 2020, 05:10:03)  [GCC 7.3.0]
[2023-03-01 17:12:32,411] multiqc                                            [INFO   ]  Searching   : /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/gerres_macracanthus/fq_raw
