--2023-01-25 16:42:17--  https://gridftp.tamucc.edu/genomics/20230123_PIRE-Tcr-ssl//tamucc_files.txt
Resolving gridftp.tamucc.edu (gridftp.tamucc.edu)... 64.71.87.21
Connecting to gridftp.tamucc.edu (gridftp.tamucc.edu)|64.71.87.21|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 270 [text/plain]
Saving to: ‘tylosurus_crocodilus/shotgun_raw_fq/tamucc_files.txt’

     0K                                                       100% 11.0M=0s

2023-01-25 16:42:18 (11.0 MB/s) - ‘tylosurus_crocodilus/shotgun_raw_fq/tamucc_files.txt’ saved [270/270]

--2023-01-25 16:42:19--  https://gridftp.tamucc.edu/genomics/20230123_PIRE-Tcr-ssl//tamucc_files.txt
Resolving gridftp.tamucc.edu (gridftp.tamucc.edu)... 64.71.87.21
Connecting to gridftp.tamucc.edu (gridftp.tamucc.edu)|64.71.87.21|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 270 [text/plain]
Saving to: ‘tylosurus_crocodilus/shotgun_raw_fq/tamucc_files.txt.1’

     0K                                                       100% 14.9M=0s

2023-01-25 16:42:19 (14.9 MB/s) - ‘tylosurus_crocodilus/shotgun_raw_fq/tamucc_files.txt.1’ saved [270/270]

--2023-01-25 16:42:19--  https://gridftp.tamucc.edu/genomics/20230123_PIRE-Tcr-ssl//TcC0700602B_CKDL220033555-1A_HMMWCDSX5_L3_1.fq.gz
Resolving gridftp.tamucc.edu (gridftp.tamucc.edu)... 64.71.87.21
Connecting to gridftp.tamucc.edu (gridftp.tamucc.edu)|64.71.87.21|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 454180003 (433M) [application/x-gzip]
Saving to: ‘tylosurus_crocodilus/shotgun_raw_fq/TcC0700602B_CKDL220033555-1A_HMMWCDSX5_L3_1.fq.gz’

     0K .......... .......... .......... .......... ..........  0%  566K 13m3s
    50K .......... .......... .......... .......... ..........  0% 1.09M 9m49s
   100K .......... .......... .......... .......... ..........  0% 71.5M 6m35s
   150K .......... .......... .......... .......... ..........  0% 1.12M 6m33s
   200K .......... .......... .......... .......... ..........  0%  107M 5m15s
   250K .......... .......... .......... .......... ..........  0% 99.7M 4m23s
   300K .......... .......... .......... .......... ..........  0% 82.0M 3m46s
   350K .......... .......... .......... .......... ..........  0% 1.12M 4m6s
   400K .......... .......... .......... .......... ..........  0% 52.5M 3m40s
   450K .......... .......... .......... .......... ..........  0%  107M 3m18s
   500K .......... .......... .......... .......... ..........  0%  116M 3m1s
   550K .......... .......... .......... .......... ..........  0%  104M 2m46s
   600K .......... .......... .......... .......... ..........  0%  120M 2m33s
   650K .......... .......... .......... .......... ..........  0%  127M 2m23s
   700K .......... .......... .......... .......... ..........  0% 1.17M 2m38s
   750K .......... .......... .......... .......... ..........  0% 63.5M 2m28s
   800K .......... .......... .......... .......... ..........  0% 37.1M 2m20s
   850K .......... .......... .......... .......... ..........  0% 63.3M 2m13s
   900K .......... .......... .......... .......... ..........  0% 50.8M 2m6s
   950K .......... .......... .......... .......... ..........  0% 85.0M 2m0s
  1000K .......... .......... .......... .......... ..........  0% 49.6M 1m55s
  1050K .......... .......... .......... .......... ..........  0% 1.23M 2m6s
  1100K .......... .......... .......... .......... ..........  0% 57.2M 2m0s
  1150K .......... .......... .......... .......... ..........  0% 65.4M 1m56s
  1200K .......... .......... .......... .......... ..........  0% 43.0M 1m51s
  1250K .......... .......... .......... .......... ..........  0% 64.0M 1m47s
  1300K .......... .......... .......... .......... ..........  0% 61.6M 1m44s
  1350K .......... .......... .......... .......... ..........  0% 52.3M 1m40s
  1400K .......... .......... .......... .......... ..........  0% 47.0M 97s
  1450K .......... .......... .......... .......... ..........  0% 63.2M 94s
